topic,start,end
hashtag-myjennikayne,2016-09-09,2016-10-01
motion-lights-campaign,2016-08-11,2016-09-19
motion-light-giveaway,2016-09-15,2016-10-15
thomasskyhigh,2016-09-15,2016-10-15
ekobrew-at-walmart,2016-08-15,2016-09-29
hashtag-useekobrew,2016-08-15,2016-09-29
martin-s-potatorolls,2016-09-01,2016-10-01
pediasure-pickyeaters,2016-08-01,2016-09-30
zoneperfect-littlewins,2016-08-17,2016-09-21
hashtag-livelife2theblondest,2016-07-22,2016-09-01
hashtag-stockuponsoothingsoftness,2016-08-20,2016-09-20
hashtag-soothingsorenoses,2016-08-20,2016-09-20
hashtag-lovecafebreaks,2016-08-22,2016-09-22
